Name,Team,Salary
Eric Moreland,SAC,3500
Jared Cunningham,PHI,3500
Markel Brown,BRK,3500
Jeremy Lamb,OKC,3500
Andre Roberson,OKC,3500
Jeff Adrien,MIN,3500
Elijah Millsap,UTA,3500
Ishmael Smith,OKC,3500
Jeremy Evans,UTA,3500
Quincy Pondexter,NOP,3500
Elliot Williams,UTA,3500
Bojan Bogdanovic,BRK,3500
Jon Leuer,MEM,3500
Allen Crabbe,POR,3500
Jorge Gutierrez,PHI,3500
Perry Jones III,OKC,3500
Malcolm Lee,PHI,3500
Darius Morris,BRK,3500
Larry Drew II,PHI,3500
