id,name,position,age,team_name,pos_code,team_code
3102531,"Kristaps Porzingis",PF,22,"New York Knicks",PF,NY
2531364,"Josh Huestis",SF,26,"Oklahoma City Thunder",SF,OkC
3064230,"Cameron Payne",PG,23,"Chicago Bulls",PG,Chi
2995706,"Mario Hezonja",SG,22,"Orlando Magic",SG,Orl
2993370,"Richaun Holmes",PF,24,"Philadelphia 76ers",PF,Phi
2530530,"T.J. McConnell",PG,25,"Philadelphia 76ers",PG,Phi
3135048,"Jahlil Okafor",C,22,"Brooklyn Nets",C,Bkn
2991282,"Willie CauleStein",C,24,"Sacramento Kings",C,Sac
4376,"Boban Marjanovic",C,29,"Los Angeles Clippers",C,LAC
2579466,"Jonathon Simmons",SF,28,"Orlando Magic",SF,Orl
2595231,"Treveon Graham",SG,24,"Charlotte Bobcats",SG,Cha
3133603,"Kelly Oubre Jr.",SF,22,"Washington Wizards",SF,Wsh
2282117,"John Holland",SG,29,"Cleveland Cavaliers",SG,Cle
,,,,"Washington Wizards",,Wsh
3907821,"Dwayne Bacon",SF,22,"Charlotte Bobcats",SF,Cha
3074765,"Isaiah Hicks",PF,23,"New York Knicks",PF,NY
2991054,"Mangok Mathiang",PF,25,"Charlotte Bobcats",PF,Cha
4066262,"Malik Monk",SG,20,"Charlotte Bobcats",SG,Cha
2982329,"Marcus Paige",PG,24,"Charlotte Bobcats",PG,Cha
2991047,"Ryan Arcidiacono",PG,23,"Chicago Bulls",PG,Chi
3907386,"Antonio Blakeney",SG,21,"Chicago Bulls",SG,Chi
2991139,"Kris Dunn",PG,23,"Chicago Bulls",PG,Chi
4066336,"Lauri Markkanen",PF,20,"Chicago Bulls",PF,Chi
3062744,"David Nwaba",PG,25,"Chicago Bulls",PG,Chi
2999549,"Denzel Valentine",SF,24,"Chicago Bulls",SF,Chi
3893023,"Paul Zipser",SF,24,"Chicago Bulls",SF,Chi
3893016,"Cedi Osman",SF,22,"Cleveland Cavaliers",SF,Cle
4017838,"Ante Zizic",PF,21,"Cleveland Cavaliers",PF,Cle
3923250,"PJ Dozier",PG,21,"Oklahoma City Thunder",PG,OkC
3064427,"Jordan Bell",PF,23,"Golden State Warriors",PF,GS
3948153,"Chris Boucher",PF,25,"Golden State Warriors",PF,GS
3064559,"Damian Jones",C,22,"Golden State Warriors",C,GS
3137730,"Patrick McCaw",SG,22,"Golden State Warriors",SG,GS
3059273,"Demetrius Jackson",PG,23,"Philadelphia 76ers",PG,Phi
3078286,"Troy Williams",SF,23,"New York Knicks",SF,NY
3912854,"Jawun Evans",PG,21,"Los Angeles Clippers",PG,LAC
4192,"Milos Teodosic",PG,30,"Los Angeles Clippers",PG,LAC
3064539,"Sindarius Thornwell",SG,23,"Los Angeles Clippers",SG,LAC
3002137,"Tyrone Wallace",SG,23,"Los Angeles Clippers",SG,LAC
2325499,"C.J. Williams",SG,28,"Los Angeles Clippers",SG,LAC
4066328,"Jarrett Allen",C,19,"Brooklyn Nets",C,Bkn
2992564,"Milton Doyle",SG,24,"Brooklyn Nets",SG,Bkn
