Position	Player	Team	Salary
TE	O.J. Howard	TB	2600
TE	Dion Sims	CHI	2600
TE	Seth DeValve	CLE	2600
TE	Jonnu Smith	TEN	2600
TE	Marcedes Lewis	JAX	2600
TE	Gerald Everett	LAR	2600
DST	Rams 	LAR	2600
TE	Jermaine Gresham	ARI	2600
TE	Julius Thomas	MIA	2600
TE	Vance McDonald	PIT	2600
DST	Giants 	NYG	2600
TE	Luke Willson	SEA	2600
TE	Khari Lee	BUF	2500
TE	Antony Auclair	TB	2500
TE	Luke Stocker	TB	2500
TE	Andrew DePaola	CHI	2500
TE	Daniel Brown	CHI	2500
TE	Adam Shaheen	CHI	2500
TE	Chris Manhertz	CAR	2500
TE	Randall Telfer	CLE	2500
TE	Phillip Supernaw	TEN	2500
TE	Beau Brinkley	TEN	2500
TE	Richard Rodgers	GB	2500
TE	Lance Kendricks	GB	2500
TE	Michael Hoomanawanui	NO	2500
TE	Josh Hill	NO	2500
TE	Erik Swoope	IND	2500
TE	Brandon Williams	IND	2500
TE	Darrell Daniels	IND	2500
TE	Henry Krieger-Coble	IND	2500
TE	James O'Shaughnessy	JAX	2500
TE	Ben Koyack	JAX	2500
TE	Derek Carrier	LAR	2500
TE	Ifeanyi Momah	ARI	2500
TE	Ricky Seals-Jones	ARI	2500
TE	Troy Niklas	ARI	2500
TE	MarQueis Gray	MIA	2500
TE	Anthony Fasano	MIA	2500
TE	Jordan Leggett	NYJ	2500
TE	Eric Tomlinson	NYJ	2500
TE	Kevin McDermott	MIN	2500
TE	Blake Bell	MIN	2500
TE	David Morgan	MIN	2500
TE	Maxx Williams	BAL	2500
TE	Nick Boyle	BAL	2500
TE	Vince Mayle	BAL	2500
TE	C.J. Uzomah	CIN	2500
TE	Cethan Carter	CIN	2500
TE	Clark Harris	CIN	2500
TE	Ryan Hewitt	CIN	2500
DST	Bengals 	CIN	2500
TE	Xavier Grimble	PIT	2500
TE	James Hanna	DAL	2500
TE	Geoff Swaim	DAL	2500
TE	Rico Gathers	DAL	2500
TE	Garrett Celek	SF	2500
TE	Logan Paulsen	SF	2500
TE	Kyle Nelson	SF	2500
TE	Cole Hikutini	SF	2500
TE	Virgil Green	DEN	2500
TE	Jake Butt	DEN	2500
TE	Jeff Heuerman	DEN	2500
TE	Sean McGrath	LAC	2500
TE	Sean Culkin	LAC	2500
TE	Jerell Adams	NYG	2500
TE	Matt LaCosse	NYG	2500
TE	Rhett Ellison	NYG	2500
TE	Tyler Ott	SEA	2500
TE	Nick Vannett	SEA	2500
DST	Cardinals 	ARI	2400
DST	Chargers 	LAC	2400
DST	Browns 	CLE	2300
DST	Packers 	GB	2300
DST	Bears 	CHI	2200
DST	49ers 	SF	2100
