Name,Team,Salary
Danny Dekeyser,DET,5191
Dany Heatley,ANA,1158
Darnell Nurse,EDM,1113
Darren Helm,DET,5358
Dave Bolland,FLA,3920
David Backes,STL,6786
David Booth,TOR,2508
David Clarkson,TOR,4737
David Desharnais,MTL,5704
David Jones,CGY,4699
David Krejci,BOS,6164
David Legwand,OTT,5270
David Moss,ARI,2514
David Pastrnak,BOS,4063
David Perron,EDM/PIT,5988
David Rundblad,CHI,3563
David Savard,CBJ,5054
David Schlemko,ARI/DAL,2982
David van der gulik,LA,979
David Warsofsky,BOS,2332
Dennis Everberg,COL,2835
Dennis Seidenberg,BOS,4343
Dennis Wideman,CGY,6179
Derek Dorsett,VAN,4668
Derek MacKenzie,FLA,3926
Derek Roy,NSH/EDM,4996
Derek Stepan,NYR,7375
Derick Brassard,NYR,7089
Derrick Pouliot,PIT,3380
Deryk Engelland,CGY,3296
Devante Smith-Pelly,ANA,4795
Devin Setoguchi,CGY,1528
Dion Phaneuf,TOR,5727
Dmitrij Jaskin,STL,3713
Dmitry Kulikov,FLA,4558
Dominic Moore,NYR,4429
Dominik Uher,PIT,761
Dougie Hamilton,BOS,5809
Drayson Bowman,MTL,1002
Drew Doughty,LA,6208
Drew Miller,DET,4090
Drew Shore,CGY,1192
Drew Stafford,BUF,5576
Duncan Keith,CHI,6048
Dustin Brown,LA,5058
Dustin Byfuglien,WPG,6551
Dwight King,LA,4540
Dylan McIlrath,NYR,1135
Dylan Olsen,FLA,4034
Elias Lindholm,CAR,5250
Emerson Etem,ANA,3387
Eriah Hayes,SJ,1030
Eric Boulton,NYI,999
Eric Brewer,TB/ANA,2906
Eric Fehr,WSH,5663
Eric Gelinas,NJ,4219
Eric Gryba,OTT,3974
Eric Nystrom,NSH,4029
Eric Staal,CAR,6339
Eric Tangradi,MTL,1147
Erik Cole,DAL,5773
Erik Condra,OTT,3730
Erik Gudbranson,FLA,3881
Erik Haula,MIN,3814
Erik Johnson,COL,5820
Erik Karlsson,OTT,6495
Evander Kane,WPG,5339
Evgeni Malkin,PIT,8613
Evgeny Kuznetsov,WSH,4811
Fedor Tyutin,CBJ,3188
Filip Forsberg,NSH,7413
Francois Beauchemin,ANA,3984
Frank Corrado,VAN,1094
Frans Nielsen,NYI,5906
Freddie Hamilton,SJ,540
Frederic St-Denis,CBJ,2262
Gabriel Bourque,NSH,3379
Gabriel Landeskog,COL,6190
Grant Clitsome,WPG,2945
Greg McKegg,TOR,843
Gregory Campbell,BOS,3744
Griffin Reinhart,NYI,1958
Gustav Nyquist,DET,6879
Hampus Lindholm,ANA,5297
Henrik Sedin,VAN,7229
Henrik Zetterberg,DET,7504
Ian Cole,STL,3518
Iiro Pakarinen,EDM,2174
J t  Brown,TB,3239
J t  Miller,NYR,4231
Jack Hillen,WSH,2902
Jack Johnson,CBJ,5564
Jack Skille,CBJ,3755
Jacob Josefson,NJ,3173
Jacob Trouba,WPG,4468
Jaden Schwartz,STL,7488
Jake Gardiner,TOR,4203
Jake Muzzin,LA,5578
Jakob Silfverberg,ANA,5149
Jakub Kindl,DET,3886
Jakub Voracek,PHI,8854
James Neal,NSH,6341
James Sheppard,SJ,4523
James van riemsdyk,TOR,7587
James Wisniewski,CBJ,5640
Jamie Benn,DAL,7530
Jamie McBain,LA,4136
Jamie McGinn,COL,3491
Jamie Oleksiak,DAL,3746
Jan Hejda,COL,4163
Jannik Hansen,VAN,5172
Jared Boll,CBJ,3215
Jared Cowen,OTT,4045
Jared Spurgeon,MIN,4715
Jarome Iginla,COL,6464
Jaromir Jagr,NJ,5879
Jarred Tinordi,MTL,2456
Jarret Stoll,LA,4646
Jason Akeson,PHI,1455
Jason Chimera,WSH,4217
Jason Demers,SJ/DAL,4555
Jason Garrison,TB,5164
Jason Pominville,MIN,7088
Jason Spezza,DAL,6761
Jason Zucker,MIN,5577
Jay Beagle,WSH,4436
Jay Bouwmeester,STL,3871
Jay Harrison,CAR/WPG,3765
Jay McClement,CAR,4248
Jayson Megna,PIT,1866
Jean-Gabriel Pageau,OTT,2639
Jeff Carter,LA,6525
Jeff Petry,EDM,4384
Jeff Schultz,LA,1865
Jeff Skinner,CAR,5290
Jeremy Morin,CHI/CBJ,2921
Jesper Fast,NYR,3363
Jesse Blacker,ANA,693
Jesse Joensuu,EDM,2868
Jim Slater,WPG,3817
Jimmy Hayes,FLA,5516
Jiri Hudler,CGY,7424
Jiri Sekac,MTL,4771
Jiri Tlusty,CAR,5194
Joakim Andersson,DET,3311
Joakim Lindstrom,STL,3410
Joakim Nordstrom,CHI,2308
Joe Colborne,CGY,4887
Joe Morrow,BOS,2057
Joe Pavelski,SJ,7602
Joe Thornton,SJ,7124
Joe Vitale,ARI,3811
Joe Whitney,NJ,2257
JoeLArmia,BUF,851
Joel Ward,WSH,5425
Joffrey Lupul,TOR,5531
Johan Franzen,DET,5789
Johan Larsson,BUF,2279
John Carlson,WSH,6680
John Klingberg,DAL,5389
John Mitchell,COL,4636
John Moore,NYR,2999
John Scott,SJ,2291
John Tavares,NYI,8111
John-Michael Liles,CAR,3723
Johnny Boychuk,NYI,5836
Johnny Gaudreau,CGY,6834
Johnny Oduya,CHI,3751
Jon Merrill,NJ,4106
Jonas Brodin,MIN,3572
Jonathan Drouin,TB,5079
Jonathan Ericsson,DET,4255
Jonathan Huberdeau,FLA,5911
Jonathan Marchessault,TB,845
Jonathan Toews,CHI,7464
Jonathon Blum,MIN,2213
Jordan Caron,BOS,963
Jordan Eberle,EDM,6211
Jordan Leopold,STL/CBJ,2698
Jordan Martinook,ARI,1083
Jordan Nolan,LA,2343
Jordan Schroeder,MIN,1203
Jordan Staal,CAR,4301
Jordie Benn,DAL,4131
Jordin Tootoo,NJ,3148
Jori Lehtera,STL,6389
Josh Anderson,CBJ,1043
Josh Bailey,NYI,5639
Josh Gorges,BUF,3730
Josh Jooris,CGY,4739
Josh Leivo,TOR,2020
Josh Manson,ANA,2195
Julien Brouillette,WPG,683
Jussi Jokinen,FLA,5735
Justin Abdelkader,DET,5999
Justin Braun,SJ,5303
Justin Falk,MIN,1576
Justin Faulk,CAR,6032
Justin Fontaine,MIN,4347
Justin Hodgman,ARI,2369
Justin Schultz,EDM,5156
Justin Shugg,CAR,975
Justin Williams,LA,5938
Jyrki Jokipakka,DAL,3216
KarLAlzner,WSH,4435
Karl Stollery,COL,1218
Keith Aulie,EDM,1628
Keith Ballard,MIN,1972
Keith Yandle,ARI,6404
Kerby Rychel,CBJ,3893
Kevan Miller,BOS,3305
Kevin Bieksa,VAN,4264
Kevin Connauton,DAL/CBJ,4727
Kevin Hayes,NYR,4723
Kevin Klein,NYR,5040
Kevin Shattenkirk,STL,7255
Klas Dahlbeck,CHI,2545
Korbinian Holzer,TOR,2933
Kris Letang,PIT,6876
Kris Russell,CGY,5053
Kris Versteeg,CHI,6480
Kyle Brodziak,MIN,4390
Kyle Chipchura,ARI,3912
Kyle Clifford,LA,4115
Kyle Okposo,NYI,7740
Kyle Palmieri,ANA,4985
Kyle Quincey,DET,4446
Kyle Turris,OTT,6273
Ladislav Smid,CGY,2669
Lance Bouma,CGY,4702
Lars Eller,MTL,4799
Lauri Korpikoski,ARI,4589
Lee Stempniak,NYR,4636
Leo Komarov,TOR,5346
Leon Draisaitl,EDM,3972
Liam O'brien,WSH,2265
Linden Vey,VAN,4927
Logan Couture,SJ,7342
Loui Eriksson,BOS,6225
Lubomir Visnovsky,NYI,4447
Luca Sbisa,VAN,3458
Lucas Lessio,ARI,1914
Luke Gazdic,EDM,1507
Luke Glendening,DET,4021
Luke Schenn,PHI,3639
Magnus Paajarvi,STL,1872
Manny Malhotra,MTL,3079
Marc Methot,OTT,2030
Marc Staal,NYR,4082
Marc-Andre Cliche,COL,3433
Marc-Edouard Vlasic,SJ,4940
Marcel Goc,PIT,3483
Marco Scandella,MIN,4872
Marcus Foligno,BUF,3899
MarcuSJohansson,WSH,6042
Marcus Kruger,CHI,4516
Marek Zidlicky,NJ,5374
Marian Gaborik,LA,6358
Marian Hossa,CHI,6605
Mark Arcobello,EDM/NSH/PIT,4596
Mark Barberio,TB,2515
Mark Borowiecki,OTT,3276
Mark Fayne,EDM,3938
Mark Fistric,ANA,1381
Mark Fraser,NJ,1884
Mark Giordano,CGY,7261
Mark Letestu,CBJ,3534
Mark Pysyk,BUF,2398
Mark Scheifele,WPG,5851
Mark Stone,OTT,5882
Mark Streit,PHI,6675
Mark Stuart,WPG,4326
Marko Dano,CBJ,2485
Markus Granlund,CGY,4490
Martin Erat,ARI,5241
Martin Hanzal,ARI,5923
Martin Havlat,NJ,4390
Martin Marincin,EDM,1982
Martin St  louis,NYR,7030
Mason Raymond,CGY,3992
Mat Clark,ANA,1987
Mathieu Perreault,WPG,6324
Mats Zuccarello,NYR,5689
MatTBartkowski,BOS,2923
MatTBeleskey,ANA,5761
Matt Calvert,CBJ,4416
Matt Carle,TB,4783
Matt Cooke,MIN,3741
Matt Cullen,NSH,3923
Matt Donovan,NYI,3016
Matt Duchene,COL,6262
Matt Dumba,MIN,3149
Matt Ellis,BUF,923
Matt Fraser,BOS/EDM,3490
Matt Frattin,TOR,1229
Matt Greene,LA,4071
Matt Halischuk,WPG,3382
Matt Hendricks,EDM,4304
Matt Hunwick,NYR,3743
Matt Irwin,SJ,3177
Matt Lindblad,BOS,939
Matt Martin,NYI,4090
Matt Moulson,BUF,5404
Matt Nieto,SJ,4273
Matt Niskanen,WSH,4854
Matt Read,PHI,5180
Matt Stajan,CGY,3702
Matt Tennyson,SJ,2654
Mattias Ekholm,NSH,4618
Max Friberg,ANA,955
Max Pacioretty,MTL,7428
Max Reinhart,CGY,1017
Maxim Lapierre,STL,4108
Maxime Talbot,COL,4502
Melker Karlsson,SJ,4823
Michael Bournival,MTL,2634
Michael Chaput,CBJ,3256
Michael Del zotto,PHI,4539
Michael Ferland,CGY,1910
Michael Frolik,WPG,5971
Michael Grabner,NYI,3986
Michael Kostka,NYR,1974
Michael Latta,WSH,2994
Michael Raffl,PHI,4843
Michael Ryder,NJ,5133
Michael Sgarbossa,COL,2597
Michael Stone,ARI,4357
Michal Jordan,CAR,1756
Michal Rozsival,CHI,3422
Micheal Haley,SJ,886
Miikka Salomaki,NSH,6060
Mika Zibanejad,OTT,5521
Mikael Backlund,CGY,4919
Mikael Granlund,MIN,4836
Mike Blunden,TB,811
Mike Brown,SJ,1202
Mike Cammalleri,NJ,5727
Mike Fisher,NSH,5939
Mike Green,WSH,6005
Mike Hoffman,OTT,5821
Mike Ribeiro,NSH,7245
Mike Richards,LA,4836
Mike Santorelli,TOR,6032
Mike Sislo,NJ,1794
Mike Weaver,MTL,3041
Mike Weber,BUF,3604
Mikhail Grabovski,NYI,4658
Mikhail Grigorenko,BUF,2307
Mikkel Boedker,ARI,6249
Mikko Koivu,MIN,5832
Milan Lucic,BOS,5826
Milan Michalek,OTT,4552
Mirco Mueller,SJ,2822
Morgan Rielly,TOR,4745
Nail Yakupov,EDM,4454
Nate Prosser,MIN,3409
Nate Schmidt,WSH,3042
Nate Thompson,ANA,4213
Nathan Beaulieu,MTL,3059
Nathan Gerbe,CAR,5111
Nathan Guenin,COL,3900
Nathan MacKinnon,COL,6099
Nazem Kadri,TOR,6108
Nick Bjugstad,FLA,6145
Nick Bonino,VAN,5818
Nick Foligno,CBJ,7831
Nick Holden,COL,4229
Nick Leddy,NYI,5454
Nick Schultz,PHI,4343
Nick Shore,LA,1084
Nick Spaling,PIT,5121
Nicklas Backstrom,WSH,7975
Nicklas Grossmann,PHI,4049
NicklaSJensen,VAN,1136
Nicolas Deslauriers,BUF,4531
Nikita Kucherov,TB,7718
Nikita Nesterov,TB,2872
Nikita Nikitin,EDM,3592
Nikita Zadorov,BUF,3869
Niklas Hjalmarsson,CHI,4354
