Player	Team	Salary	
Benjamin	Watson	BAL	3000
Tra	Carson	CIN	3000
Josh	Malone	CIN	3000
Alex	Erickson	CIN	3000
Cody	Core	CIN	3000
Tyler	Kroft	CIN	3000
Terrell	Watson	PIT	3000
Roosevelt	Nix	PIT	3000
Eli	Rogers	PIT	3000
Justin	Hunter	PIT	3000
Darrius	Heyward-Bey	PIT	3000
Keith	Smith	DAL	3000
Ryan	Switzer	DAL	3000
Noah	Brown	DAL	3000
Raheem	Mostert	SF	3000
Kyle	Juszczyk	SF	3000
Kendrick	Bourne	SF	3000
Victor	Bolden Jr.	SF	3000
Andy	Janovich	DEN	3000
Jordan	Taylor	DEN	3000
Cody	Latimer	DEN	3000
Isaiah	McKenzie	DEN	3000
Andre	Williams	LAC	3000
Derek	Watt	LAC	3000
Dontrelle	Inman	LAC	3000
Tre	Madden	SEA	3000
Tanner	McEvoy	SEA	3000
Amara	Darboh	SEA	3000
David	Njoku	CLE	2900
Ravens		BAL	2900
Jesse	James	PIT	2900
Colts		IND	2800
A.J.	Derby	DEN	2800
Antonio	Gates	LAC	2800
Buccaneers		TB	2700
Tyler	Higbee	LAR	2700
Logan	Thomas	BUF	2600
O.J.	Howard	TB	2600
Dion	Sims	CHI	2600
Seth	DeValve	CLE	2600
Jonnu	Smith	TEN	2600
Marcedes	Lewis	JAX	2600
Gerald	Everett	LAR	2600
Rams		LAR	2600
Jermaine	Gresham	ARI	2600
Julius	Thomas	MIA	2600
Vance	McDonald	PIT	2600
Giants		NYG	2600
Luke	Willson	SEA	2600
Khari	Lee	BUF	2500
Antony	Auclair	TB	2500
Luke	Stocker	TB	2500
Andrew	DePaola	CHI	2500
Daniel	Brown	CHI	2500
Adam	Shaheen	CHI	2500
Chris	Manhertz	CAR	2500
Randall	Telfer	CLE	2500
Phillip	Supernaw	TEN	2500
Beau	Brinkley	TEN	2500
Richard	Rodgers	GB	2500
Lance	Kendricks	GB	2500
Michael	Hoomanawanui	NO	2500
Josh	Hill	NO	2500
Erik	Swoope	IND	2500
Brandon	Williams	IND	2500
Darrell	Daniels	IND	2500
Henry	Krieger-Coble	IND	2500
James	O'Shaughnessy	JAX	2500
Ben	Koyack	JAX	2500
Derek	Carrier	LAR	2500
Ifeanyi	Momah	ARI	2500
Ricky	Seals-Jones	ARI	2500
Troy	Niklas	ARI	2500
MarQueis	Gray	MIA	2500
Anthony	Fasano	MIA	2500
Jordan	Leggett	NYJ	2500
Eric	Tomlinson	NYJ	2500
Kevin	McDermott	MIN	2500
Blake	Bell	MIN	2500
David	Morgan	MIN	2500
Maxx	Williams	BAL	2500
Nick	Boyle	BAL	2500
Vince	Mayle	BAL	2500
C.J.	Uzomah	CIN	2500
Cethan	Carter	CIN	2500
Clark	Harris	CIN	2500
Ryan	Hewitt	CIN	2500
Bengals		CIN	2500
Xavier	Grimble	PIT	2500
James	Hanna	DAL	2500
Geoff	Swaim	DAL	2500
Rico	Gathers	DAL	2500
Garrett	Celek	SF	2500
Logan	Paulsen	SF	2500
Kyle	Nelson	SF	2500
Cole	Hikutini	SF	2500
Virgil	Green	DEN	2500
Jake	Butt	DEN	2500
Jeff	Heuerman	DEN	2500
Sean	McGrath	LAC	2500
Sean	Culkin	LAC	2500
Jerell	Adams	NYG	2500
Matt	LaCosse	NYG	2500
Rhett	Ellison	NYG	2500
Tyler	Ott	SEA	2500
Nick	Vannett	SEA	2500
Cardinals		ARI	2400
Chargers		LAC	2400
Browns		CLE	2300
Packers		GB	2300
Bears		CHI	2200
49ers		SF	2100
